date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2023-12-31,-1.7,-4.8,-2.8,60.4518,22.2666,FI-TUR,Turku,20.8,0,FI,Finland
2024-01-01,-4.0,-7.8,-6.4,60.4518,22.2666,FI-TUR,Turku,24.4,0,FI,Finland
2024-01-02,-0.4,-3.9,-2.3,60.4518,22.2666,FI-TUR,Turku,20.3,0,FI,Finland
2023-12-30,4.7,-1.2,1.3,48.8566,2.3522,FR-PAR,Paris,16.7,0,FR,France
2023-12-31,8.9,2.8,5.7,48.8566,2.3522,FR-PAR,Paris,12.3,0,FR,France
2024-01-01,6.5,1.6,4.5,48.8566,2.3522,FR-PAR,Paris,13.5,0,FR,France
2024-01-02,8.6,5.1,6.5,48.8566,2.3522,FR-PAR,Paris,11.5,0,FR,France
2023-12-30,7.7,0.4,3.1,45.764,4.8357,FR-LYO,Lyon,14.9,0,FR,France
2023-12-31,6.8,0.3,2.8,45.764,4.8357,FR-LYO,Lyon,15.2,0,FR,France
2024-01-01,5.7,0.1,2.2,45.764,4.8357,FR-LYO,Lyon,15.8,0,FR,France
2024-01-02,3.7,-0.3,1.8,45.764,4.8357,FR-LYO,Lyon,16.2,0,FR,France
2023-12-30,8.8,2.9,5.8,43.2965,5.3698,FR-MAR,Marseille,12.2,0,FR,France
2023-12-31,9.2,2.7,5.3,43.2965,5.3698,FR-MAR,Marseille,12.7,0,FR,France
2024-01-01,9.2,2.1,5.1,43.2965,5.3698,FR-MAR,Marseille,12.9,0,FR,France
2024-01-02,11.1,2.1,5.9,43.2965,5.3698,FR-MAR,Marseille,12.1,0,FR,France
2023-12-30,11.1,5.1,8.0,43.6047,1.4442,FR-TOU,Toulouse,10.0,0,FR,France
2023-12-31,10.4,4.7,7.4,43.6047,1.4442,FR-TOU,Toulouse,10.6,0,FR,France
2024-01-01,9.5,2.3,5.5,43.6047,1.4442,FR-TOU,Toulouse,12.5,0,FR,France
2024-01-02,7.8,1.8,4.9,43.6047,1.4442,FR-TOU,Toulouse,13.1,0,FR,France
2023-12-30,-2.4,-7.4,-5.1,52.52,13.405,DE-BER,Berlin,23.1,0,DE,Germany
2023-12-31,1.5,-5.0,-1.8,52.52,13.405,DE-BER,Berlin,19.8,0,DE,Germany
2024-01-01,2.2,0.7,1.4,52.52,13.405,DE-BER,Berlin,16.6,0,DE,Germany
2024-01-02,4.8,0.7,2.6,52.52,13.405,DE-BER,Berlin,15.4,0,DE,Germany
2023-12-30,-1.2,-11.9,-6.6,48.1351,11.582,DE-MUN,Munich,24.6,0,DE,Germany
