date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2024-03-09,9.6,-0.7,3.9,47.4979,19.0402,HU-BUD,Budapest,14.1,0.0,HU,Hungary
2024-03-10,7.8,-0.6,2.9,47.4979,19.0402,HU-BUD,Budapest,15.1,0.0,HU,Hungary
2024-03-05,12.0,2.1,7.0,47.5316,21.6273,HU-DEB,Debrecen,11.0,0.0,HU,Hungary
2024-03-06,10.1,1.2,5.0,47.5316,21.6273,HU-DEB,Debrecen,13.0,0.0,HU,Hungary
2024-03-07,9.9,0.8,4.3,47.5316,21.6273,HU-DEB,Debrecen,13.7,0.0,HU,Hungary
2024-03-08,9.0,0.6,3.9,47.5316,21.6273,HU-DEB,Debrecen,14.1,0.0,HU,Hungary
2024-03-09,8.0,-0.2,3.0,47.5316,21.6273,HU-DEB,Debrecen,15.0,0.0,HU,Hungary
2024-03-10,8.5,-1.7,3.3,47.5316,21.6273,HU-DEB,Debrecen,14.7,0.0,HU,Hungary
2024-03-05,13.2,1.5,7.3,46.253,20.1414,HU-SZE,Szeged,10.7,0.0,HU,Hungary
2024-03-06,10.7,0.7,5.5,46.253,20.1414,HU-SZE,Szeged,12.5,0.0,HU,Hungary
2024-03-07,12.5,0.7,5.3,46.253,20.1414,HU-SZE,Szeged,12.7,0.0,HU,Hungary
2024-03-08,9.3,0.3,4.1,46.253,20.1414,HU-SZE,Szeged,13.9,0.0,HU,Hungary
2024-03-09,8.3,-0.1,3.5,46.253,20.1414,HU-SZE,Szeged,14.5,0.0,HU,Hungary
2024-03-10,8.6,-0.5,3.6,46.253,20.1414,HU-SZE,Szeged,14.4,0.0,HU,Hungary
